Item,Price,Link
JLCPCB + Assembly + Shipping,$170,jlcpcb.com
Blue Laser Diode Array,$140,https://www.ebay.com/itm/117338976687
LM338,$6,https://www.aliexpress.us/item/3256809812350367.html
Toggle Switches,$3,https://www.aliexpress.us/item/3256805504896607.html
0.625 ohm Resistors,$2,https://www.aliexpress.us/item/3256809808109885.html?
Mini Voltmeter,$2,https://www.aliexpress.us/item/3256807826514920.html
Lithium Ion Battery + Charger (XT60 - DC),$32,https://www.aliexpress.us/item/3256811403962565.html
Cooling Fans + Heatsink,$12,https://www.aliexpress.us/item/2251832856177807.html?
Collimating Laser Lenses,$40,https://www.ebay.com/itm/236181151103
,,
Price:,$407,
Tax:,$43,
Total:,$450,
